學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,01111001,教育學系,D 日,D 博士,9,13,6,16,9,13,12,5,6,5,7,5,3,2,0,0,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,M 碩士,6,10,1,13,4,4,3,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,B 學士,16,41,14,39,17,32,19,42,0,0,0,0,0,0,5,14,30 臺北市,1 一般
0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,7,12,5,5,2,6,2,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,5,17,5,14,7,13,7,6,2,5,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,1,10,1,5,2,9,1,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,3,1,1,2,4,2,4,2,3,4,1,1,3,1,0,0,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,0,5,8,6,1,3,3,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,D 博士,1,4,5,1,2,2,1,2,1,1,3,1,6,1,0,0,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,13,5,15,1,11,3,13,8,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,B 學士,23,25,21,11,23,10,35,10,0,0,0,0,0,0,9,3,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,2,0,2,2,2,1,1,2,2,0,0,1,5,3,0,0,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,10,2,9,6,6,5,7,8,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,D 博士,4,2,1,2,1,0,2,2,3,2,1,2,4,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,M 碩士,5,3,2,6,0,5,5,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,B 學士,21,22,16,23,17,30,14,19,0,0,0,0,0,0,9,7,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,D 博士,4,0,1,0,4,1,1,0,4,0,2,2,5,2,0,0,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,M 碩士,4,8,6,10,7,6,7,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,B 學士,23,26,19,18,17,18,23,17,0,0,0,0,0,0,14,6,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,D 博士,1,2,0,2,0,5,1,1,1,1,3,2,0,4,0,0,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,M 碩士,2,13,5,10,8,11,2,14,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,B 學士,24,41,18,46,19,47,17,52,0,0,0,0,0,0,13,28,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,0,0,2,16,0,5,0,9,1,2,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,M 碩士,3,3,5,4,1,5,1,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,B 學士,16,28,10,32,11,23,7,32,0,0,0,0,0,0,5,23,30 臺北市,1 一般
0001,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,17,30,12,27,18,25,12,26,0,0,0,0,0,0,7,12,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,1,5,2,10,1,3,0,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,B 學士,2,31,5,29,4,29,6,30,0,0,0,0,0,0,1,11,30 臺北市,1 一般
0001,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,9,24,7,21,10,20,6,17,0,0,0,0,0,0,7,9,30 臺北市,1 一般
0001,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,11,46,12,51,20,39,10,49,0,0,0,0,0,0,10,45,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,M 碩士,1,2,1,4,0,0,0,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,B 學士,17,40,7,40,15,40,21,32,0,0,0,0,0,0,11,19,30 臺北市,1 一般
0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,D 日,B 學士,6,10,4,13,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,D 博士,1,1,0,1,0,2,1,0,0,2,0,0,0,2,0,0,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,M 碩士,2,7,9,3,3,3,6,9,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,D 博士,2,5,8,5,9,1,7,4,0,10,4,1,5,2,0,0,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,M 碩士,9,9,8,19,10,16,8,16,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,B 學士,38,46,27,45,18,57,26,60,0,0,0,0,0,0,14,20,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,N 職,M 碩士,2,13,1,12,10,27,1,15,1,4,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02323002,華語文教學博士學位學程,D 日,D 博士,0,3,0,4,1,3,0,2,0,1,0,5,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02323002,華語文教學碩士學位學程,D 日,M 碩士,5,10,2,12,4,10,1,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,02399018,語言學研究所,D 日,D 博士,2,0,0,2,0,0,0,0,1,1,1,0,1,1,0,0,30 臺北市,1 一般
0001,國立政治大學,02399018,語言學研究所,D 日,M 碩士,2,3,7,4,1,4,1,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,D 博士,1,1,2,1,2,0,2,0,1,0,0,1,1,1,0,0,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,M 碩士,26,12,24,12,7,1,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,B 學士,41,42,53,47,46,46,47,51,0,0,0,0,0,0,22,20,30 臺北市,1 一般
0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,D 日,M 碩士,5,8,8,6,2,3,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,D 博士,0,2,2,1,7,0,1,2,4,0,3,0,6,1,0,0,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,M 碩士,15,5,12,10,11,7,11,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,B 學士,20,29,30,27,26,22,22,31,0,0,0,0,0,0,9,13,30 臺北市,1 一般
0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,N 職,M 碩士,16,7,21,6,8,3,3,0,0,1,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,D 博士,3,0,1,0,0,0,2,1,1,1,2,0,2,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,M 碩士,15,10,12,14,5,11,4,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,B 學士,20,42,17,41,24,37,25,47,0,0,0,0,0,0,6,11,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,N 職,M 碩士,15,7,17,5,10,7,5,0,2,2,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03122046,國際研究英語碩士學位學程,D 日,M 碩士,6,7,11,10,5,0,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,D 博士,0,3,1,1,1,1,0,0,0,2,0,0,0,3,0,0,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,M 碩士,6,10,9,15,7,9,8,12,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,B 學士,12,28,15,30,18,38,25,26,0,0,0,0,0,0,6,5,30 臺北市,1 一般
0001,國立政治大學,03131033,輔導與諮商碩士學位學程,D 日,M 碩士,2,9,4,7,3,11,2,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,D 博士,1,2,1,2,1,1,1,0,1,0,0,0,4,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,M 碩士,8,13,6,9,11,7,6,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,B 學士,21,27,17,26,11,24,16,27,0,0,0,0,0,0,8,12,30 臺北市,1 一般
0001,國立政治大學,03143023,中東與中亞研究碩士學位學程,D 日,M 碩士,3,2,2,3,2,1,2,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03143028,東亞研究所,D 日,D 博士,4,2,2,4,5,2,3,0,4,0,0,0,2,1,0,0,30 臺北市,1 一般
0001,國立政治大學,03143028,東亞研究所,D 日,M 碩士,10,11,9,9,10,6,12,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
