學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
111,49,國立臺灣體育運動大學,10141003,競技運動學系,D 日,M 碩士,69,39,30,11,9,8,10,9,8,6,2,4,1,0,0,1,0,0,0,19 臺中市,1 一般
111,49,國立臺灣體育運動大學,10141003,競技運動學系,D 日,B 學士,216,156,60,40,14,38,13,37,16,35,14,0,0,0,0,0,0,6,3,19 臺中市,1 一般
111,49,國立臺灣體育運動大學,10141003,競技運動學系,N 職,M 碩士,22,18,4,6,1,4,2,6,1,1,0,1,0,0,0,0,0,0,0,19 臺中市,1 一般
111,3002,臺北市立大學,10141054,競技運動訓練研究所,D 日,D 博士,29,20,9,4,2,5,1,3,2,4,2,0,1,2,1,2,0,0,0,30 臺北市,1 一般
111,3002,臺北市立大學,10141054,競技運動訓練研究所,D 日,M 碩士,52,26,26,11,9,9,12,3,1,2,1,0,1,1,2,0,0,0,0,30 臺北市,1 一般
111,3002,臺北市立大學,10141054,競技運動訓練研究所,N 職,M 碩士,33,17,16,8,4,4,9,3,0,2,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
111,2,國立清華大學,1111112,竹師教育學院學士班,D 日,B 學士,135,58,77,20,33,12,12,11,16,10,15,0,0,0,0,0,0,5,1,18 新竹市,1 一般
111,2,國立清華大學,1199130,竹師教育學院跨領域STEAM教育碩士在職專班,N 職,M 碩士,29,8,21,5,11,3,10,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
111,1011,中華大學,4199063,管理博士學位學程,D 日,D 博士,35,24,11,5,3,6,2,6,2,5,1,2,1,0,2,0,0,0,0,18 新竹市,1 一般
111,22,國立臺灣科技大學,4191009,管理學士班,D 日,B 四技,146,56,90,16,24,15,20,13,21,11,22,0,0,0,0,0,0,1,3,30 臺北市,2 技職
111,1050,佛光大學,4131030,管理學系,D 日,M 碩士,14,1,13,0,7,1,2,0,3,0,1,0,0,0,0,0,0,0,0,02 宜蘭縣,1 一般
