學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
111,1044,聖約翰科技大學,4131005, 企業管理系,D 日,B 四技,10,4,6,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2,0,01 新北市,2 技職
111,2,國立清華大學,7151134,AI智慧製造與工業物聯網產業碩士專班,D 日,M 碩士,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
111,2,國立清華大學,7151141,AI智慧製造與智慧物聯網產業碩士專班,D 日,M 碩士,6,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
111,1048,亞洲大學,4131055,EMBA高階經理碩士在職學位學程,N 職,M 碩士,11,9,2,6,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,06 臺中市,1 一般
111,52,國立屏東大學,1115073,STEM教育國際碩士學位學程,D 日,M 碩士,4,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13 屏東縣,1 一般
111,19,國立高雄大學,4199013,上海國際高階經營管理碩士在職專班,N 職,M 碩士,33,20,13,6,3,9,7,3,2,1,1,1,0,0,0,0,0,0,0,50 高雄市,1 一般
111,22,國立臺灣科技大學,99999036,不分系學士班,D 日,B 四技,53,44,9,44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,22,國立臺灣科技大學,99999036,不分系學士班_不分系學士專班,D 日,B 四技,42,40,2,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,1006,中國文化大學,99999071,不分系招生,P 進,B 學士,362,127,235,93,212,17,17,6,1,5,2,0,0,0,0,0,0,6,3,30 臺北市,1 一般
111,1057,德明財經科技大學,4199017,不動產投資與經營學位學程,D 日,B 四技,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,30 臺北市,2 技職
111,52,國立屏東大學,4199047,不動產經營學系,D 日,M 碩士,30,20,10,6,8,8,0,5,2,1,0,0,0,0,0,0,0,0,0,13 屏東縣,1 一般
111,52,國立屏東大學,4199047,不動產經營學系,D 日,B 學士,238,85,153,30,32,15,38,13,41,23,38,0,0,0,0,0,0,4,4,13 屏東縣,1 一般
111,52,國立屏東大學,4199047,不動產經營學系,N 職,M 碩士,40,18,22,7,10,7,10,3,1,0,1,1,0,0,0,0,0,0,0,13 屏東縣,1 一般
111,1080,宏國德霖科技大學,4199011,不動產經營系,N 修,B 四技,75,50,25,17,10,13,4,10,7,10,4,0,0,0,0,0,0,0,0,01 新北市,2 技職
111,1080,宏國德霖科技大學,4199011,不動產經營系,N 修,C 二技,124,51,73,0,0,0,0,27,41,21,32,0,0,0,0,0,0,3,0,01 新北市,2 技職
111,17,國立臺北大學,4134024,不動產與城鄉環境學系,D 日,D 博士,22,12,10,0,2,1,3,2,2,5,0,1,1,2,1,1,1,0,0,01 新北市,1 一般
111,17,國立臺北大學,4134024,不動產與城鄉環境學系,D 日,M 碩士,51,25,26,9,13,10,9,5,3,1,1,0,0,0,0,0,0,0,0,01 新北市,1 一般
111,17,國立臺北大學,4134024,不動產與城鄉環境學系,D 日,B 學士,487,193,294,50,72,48,68,41,72,46,77,0,0,0,0,0,0,8,5,01 新北市,1 一般
111,17,國立臺北大學,4134024,不動產與城鄉環境學系,P 進,B 學士,172,90,82,27,28,24,25,15,18,17,7,0,0,0,0,0,0,7,4,01 新北市,1 一般
111,1033,長榮大學,4199063,不動產財務金融學士學位學程,D 日,B 學士,13,10,3,0,0,0,0,0,0,8,3,0,0,0,0,0,0,2,0,11 臺南市,1 一般
111,1004,中原大學,6121060,中原大學美國威大密爾瓦基分校電機與資訊工程雙學士學位學程,D 日,B 學士,37,28,9,15,4,13,5,0,0,0,0,0,0,0,0,0,0,0,0,03 桃園市,1 一般
111,1004,中原大學,4191057,中原大學與美國天普大學商學管理雙學士學位學程,D 日,B 學士,60,28,32,7,9,7,8,7,7,7,8,0,0,0,0,0,0,0,0,03 桃園市,1 一般
111,1006,中國文化大學,2152008,中國戲劇學系,D 日,B 學士,191,45,146,10,28,4,33,9,29,10,26,0,0,0,0,0,0,12,30,30 臺北市,1 一般
111,1005,淡江大學,2322090,中國文學學系,D 日,D 博士,31,14,17,1,4,1,4,0,2,6,2,1,2,2,1,3,2,0,0,01 新北市,1 一般
111,1005,淡江大學,2322090,中國文學學系,D 日,M 碩士,35,11,24,5,4,1,11,3,5,2,4,0,0,0,0,0,0,0,0,01 新北市,1 一般
111,1005,淡江大學,2322090,中國文學學系,D 日,B 學士,501,168,333,24,46,47,86,38,81,40,96,0,0,0,0,0,0,19,24,01 新北市,1 一般
111,1005,淡江大學,2322090,中國文學學系,N 職,M 碩士,7,0,7,0,0,0,0,0,1,0,3,0,1,0,2,0,0,0,0,01 新北市,1 一般
111,1005,淡江大學,2322090,中國文學學系,P 進,B 學士,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,01 新北市,1 一般
111,1,國立政治大學,2322008,中國文學系,D 日,D 博士,52,31,21,3,2,4,7,2,2,5,3,2,1,7,2,8,4,0,0,30 臺北市,1 一般
111,1,國立政治大學,2322008,中國文學系,D 日,M 碩士,99,40,59,12,12,12,13,7,14,9,20,0,0,0,0,0,0,0,0,30 臺北市,1 一般
111,1,國立政治大學,2322008,中國文學系,D 日,B 學士,336,82,254,15,66,15,62,28,47,12,62,0,0,0,0,0,0,12,17,30 臺北市,1 一般
111,2,國立清華大學,2322003,中國文學系,D 日,D 博士,58,23,35,6,4,2,4,2,3,2,5,1,4,2,4,8,11,0,0,18 新竹市,1 一般
111,2,國立清華大學,2322003,中國文學系,D 日,M 碩士,94,23,71,5,16,6,13,3,19,9,23,0,0,0,0,0,0,0,0,18 新竹市,1 一般
111,2,國立清華大學,2322003,中國文學系,D 日,B 學士,211,60,151,10,42,21,32,12,30,7,33,0,0,0,0,0,0,10,14,18 新竹市,1 一般
111,3,國立臺灣大學,2322006,中國文學系,D 日,D 博士,46,30,16,5,1,2,3,5,5,4,1,2,1,3,1,9,4,0,0,30 臺北市,1 一般
111,3,國立臺灣大學,2322006,中國文學系,D 日,M 碩士,89,37,52,12,11,8,8,7,14,10,19,0,0,0,0,0,0,0,0,30 臺北市,1 一般
111,3,國立臺灣大學,2322006,中國文學系,D 日,B 學士,248,77,171,15,42,19,35,15,41,22,33,0,0,0,0,0,0,6,20,30 臺北市,1 一般
111,5,國立成功大學,2322107,中國文學系,D 日,D 博士,34,12,22,3,3,1,5,4,3,2,1,0,3,1,4,1,3,0,0,21 臺南市,1 一般
111,5,國立成功大學,2322107,中國文學系,D 日,B 學士,211,71,140,19,39,13,40,9,31,22,21,0,0,0,0,0,0,8,9,21 臺南市,1 一般
111,6,國立中興大學,2322005,中國文學系,D 日,D 博士,25,15,10,2,2,1,1,4,1,2,1,5,3,1,1,0,1,0,0,19 臺中市,1 一般
111,6,國立中興大學,2322005,中國文學系,D 日,M 碩士,62,17,45,4,12,7,10,3,12,3,11,0,0,0,0,0,0,0,0,19 臺中市,1 一般
111,6,國立中興大學,2322005,中國文學系,D 日,B 學士,212,48,164,16,39,10,35,11,38,7,42,0,0,0,0,0,0,4,10,19 臺中市,1 一般
111,6,國立中興大學,2322005,中國文學系,N 職,M 碩士,30,10,20,2,7,3,1,2,2,1,3,2,7,0,0,0,0,0,0,19 臺中市,1 一般
111,6,國立中興大學,2322005,中國文學系,P 進,B 學士,164,62,102,14,28,13,28,15,20,14,18,5,8,0,0,0,0,1,0,19 臺中市,1 一般
111,8,國立中央大學,2322006,中國文學系,D 日,D 博士,35,17,18,2,1,3,1,2,1,3,3,1,2,1,5,5,5,0,0,03 桃園市,1 一般
111,8,國立中央大學,2322006,中國文學系,D 日,M 碩士,62,25,37,6,13,5,6,7,6,6,11,1,1,0,0,0,0,0,0,03 桃園市,1 一般
111,8,國立中央大學,2322006,中國文學系,D 日,B 學士,196,56,140,14,33,14,32,9,35,11,36,0,0,0,0,0,0,8,4,03 桃園市,1 一般
111,9,國立中山大學,2322005,中國文學系,D 日,D 博士,23,11,12,0,3,1,3,1,2,2,1,4,1,1,1,2,1,0,0,50 高雄市,1 一般
111,9,國立中山大學,2322005,中國文學系,D 日,M 碩士,55,31,24,9,3,6,6,1,7,15,8,0,0,0,0,0,0,0,0,50 高雄市,1 一般
111,9,國立中山大學,2322005,中國文學系,D 日,B 學士,201,55,146,12,32,14,35,12,36,13,30,0,0,0,0,0,0,4,13,50 高雄市,1 一般
111,13,國立中正大學,2322011,中國文學系,D 日,D 博士,30,16,14,1,3,3,3,1,1,4,1,2,3,2,1,3,2,0,0,10 嘉義縣,1 一般
111,13,國立中正大學,2322011,中國文學系,D 日,M 碩士,39,14,25,4,4,4,4,4,5,2,12,0,0,0,0,0,0,0,0,10 嘉義縣,1 一般
111,13,國立中正大學,2322011,中國文學系,D 日,B 學士,171,44,127,15,27,8,34,5,32,10,30,0,0,0,0,0,0,6,4,10 嘉義縣,1 一般
111,17,國立臺北大學,2322002,中國文學系,D 日,M 碩士,40,17,23,4,4,1,7,4,2,8,10,0,0,0,0,0,0,0,0,01 新北市,1 一般
111,17,國立臺北大學,2322002,中國文學系,D 日,B 學士,197,47,150,11,41,13,32,8,34,10,27,0,0,0,0,0,0,5,16,01 新北市,1 一般
111,18,國立嘉義大學,2322029,中國文學系,D 日,M 碩士,23,11,12,3,1,0,3,3,3,5,5,0,0,0,0,0,0,0,0,20 嘉義市,1 一般
111,18,國立嘉義大學,2322029,中國文學系,D 日,B 學士,183,59,124,12,25,15,36,19,30,13,33,0,0,0,0,0,0,0,0,20 嘉義市,1 一般
111,18,國立嘉義大學,2322029,中國文學系,N 職,M 碩士,26,6,20,3,3,1,10,1,3,1,4,0,0,0,0,0,0,0,0,20 嘉義市,1 一般
111,18,國立嘉義大學,2322029,中國文學系,P 進,B 學士,79,34,45,7,14,11,10,8,9,5,10,0,0,0,0,0,0,3,2,20 嘉義市,1 一般
111,1001,東海大學,2322004,中國文學系,D 日,D 博士,22,14,8,2,2,2,0,2,1,2,2,2,1,3,1,1,1,0,0,19 臺中市,1 一般
111,1001,東海大學,2322004,中國文學系,D 日,M 碩士,37,18,19,5,5,5,2,6,6,2,6,0,0,0,0,0,0,0,0,19 臺中市,1 一般
111,1001,東海大學,2322004,中國文學系,D 日,B 學士,394,109,285,24,59,28,62,24,79,23,69,0,0,0,0,0,0,10,16,19 臺中市,1 一般
111,1001,東海大學,2322004,中國文學系,N 職,M 碩士,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19 臺中市,1 一般
111,1002,輔仁大學,2322003,中國文學系,D 日,D 博士,22,9,13,3,1,1,3,2,2,1,2,2,1,0,1,0,3,0,0,01 新北市,1 一般
111,1002,輔仁大學,2322003,中國文學系,D 日,M 碩士,34,11,23,3,5,3,8,2,4,3,6,0,0,0,0,0,0,0,0,01 新北市,1 一般
111,1002,輔仁大學,2322003,中國文學系,D 日,B 學士,487,138,349,32,71,26,92,33,79,36,78,0,0,0,0,0,0,11,29,01 新北市,1 一般
111,1002,輔仁大學,2322003,中國文學系,P 進,B 學士,102,25,77,2,15,7,16,4,19,8,16,0,0,0,0,0,0,4,11,01 新北市,1 一般
111,1003,東吳大學,2322002,中國文學系,D 日,D 博士,34,18,16,3,0,1,3,2,1,1,3,2,2,4,3,5,4,0,0,30 臺北市,1 一般
111,1003,東吳大學,2322002,中國文學系,D 日,M 碩士,61,28,33,6,8,7,6,7,5,8,14,0,0,0,0,0,0,0,0,30 臺北市,1 一般
111,1003,東吳大學,2322002,中國文學系,D 日,B 學士,669,169,500,39,97,42,119,40,117,28,114,0,0,0,0,0,0,20,53,30 臺北市,1 一般
111,1003,東吳大學,2322002,中國文學系,N 職,M 碩士,24,10,14,3,4,0,1,5,3,0,1,1,3,1,2,0,0,0,0,30 臺北市,1 一般
111,1003,東吳大學,2322002,中國文學系,P 進,B 學士,85,28,57,2,1,4,12,6,17,5,14,8,12,0,0,0,0,3,1,30 臺北市,1 一般
111,1006,中國文化大學,2322001,中國文學系,D 日,D 博士,55,22,33,2,3,1,5,5,1,0,1,1,1,3,6,10,16,0,0,30 臺北市,1 一般
111,1006,中國文化大學,2322001,中國文學系,D 日,M 碩士,39,18,21,1,3,1,5,3,4,1,1,6,4,6,4,0,0,0,0,30 臺北市,1 一般
111,1006,中國文化大學,2322001,中國文學系,D 日,B 學士,540,213,327,10,34,48,64,59,74,49,81,0,0,0,0,0,0,47,74,30 臺北市,1 一般
111,1007,逢甲大學,2322001,中國文學系,D 日,D 博士,30,14,16,2,4,3,2,1,2,2,2,3,2,0,2,3,2,0,0,19 臺中市,1 一般
111,1007,逢甲大學,2322001,中國文學系,D 日,M 碩士,22,11,11,4,3,3,6,3,0,1,2,0,0,0,0,0,0,0,0,19 臺中市,1 一般
111,1007,逢甲大學,2322001,中國文學系,D 日,B 學士,228,61,167,10,38,14,46,16,40,14,36,0,0,0,0,0,0,7,7,19 臺中市,1 一般
111,1008,靜宜大學,2322003,中國文學系,D 日,M 碩士,19,6,13,4,2,1,6,1,3,0,2,0,0,0,0,0,0,0,0,06 臺中市,1 一般
111,1008,靜宜大學,2322003,中國文學系,D 日,B 學士,395,140,255,19,45,39,61,31,71,32,62,0,0,0,0,0,0,19,16,06 臺中市,1 一般
111,1008,靜宜大學,2322003,中國文學系,N 職,M 碩士,3,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,06 臺中市,1 一般
111,1013,華梵大學,2322003,中國文學系,D 日,M 碩士,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,01 新北市,1 一般
111,1013,華梵大學,2322003,中國文學系,D 日,B 學士,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,01 新北市,1 一般
111,1015,世新大學,2322001,中國文學系,D 日,D 博士,14,6,8,2,1,0,1,1,4,1,0,1,0,0,0,1,2,0,0,30 臺北市,1 一般
111,1015,世新大學,2322001,中國文學系,D 日,M 碩士,12,3,9,2,1,1,4,0,2,0,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
111,1015,世新大學,2322001,中國文學系,D 日,B 學士,144,30,114,2,24,11,31,6,30,8,22,0,0,0,0,0,0,3,7,30 臺北市,1 一般
111,9,國立中山大學,2322005,中國文學系(暑期專班)碩士班,N 職,M 碩士,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50 高雄市,1 一般
111,5,國立成功大學,2322107,中國文學系中國文學碩士班,D 日,M 碩士,53,16,37,6,8,6,10,2,9,2,9,0,1,0,0,0,0,0,0,21 臺南市,1 一般
111,1,國立政治大學,2322008,中國文學系國文教學碩士在職專班,N 職,M 碩士,75,12,63,5,17,5,9,1,16,1,9,0,12,0,0,0,0,0,0,30 臺北市,1 一般
111,3,國立臺灣大學,2322006,中國文學系國際學生學士班,D 日,B 學士,48,15,33,1,3,5,11,3,7,5,7,0,0,0,0,0,0,1,5,30 臺北市,1 一般
111,5,國立成功大學,2322107,中國文學系現代文學碩士班,D 日,M 碩士,25,7,18,2,6,1,6,3,2,1,4,0,0,0,0,0,0,0,0,21 臺南市,1 一般
111,1050,佛光大學,2322006,中國文學與應用學系,D 日,D 博士,34,14,20,2,3,0,3,3,3,3,2,3,5,2,2,1,2,0,0,02 宜蘭縣,1 一般
111,1050,佛光大學,2322006,中國文學與應用學系,D 日,M 碩士,12,6,6,1,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,02 宜蘭縣,1 一般
111,1050,佛光大學,2322006,中國文學與應用學系,D 日,B 學士,108,36,72,4,23,5,14,14,11,8,19,0,0,0,0,0,0,5,5,02 宜蘭縣,1 一般
111,1050,佛光大學,2322006,中國文學與應用學系,N 職,M 碩士,10,2,8,1,2,0,4,0,1,0,0,1,1,0,0,0,0,0,0,02 宜蘭縣,1 一般
111,9,國立中山大學,3143016,中國與亞太區域研究所,D 日,D 博士,61,43,18,6,3,9,4,4,3,10,2,5,3,4,2,5,1,0,0,50 高雄市,1 一般
111,9,國立中山大學,3143016,中國與亞太區域研究所,D 日,M 碩士,69,43,26,14,7,14,7,6,8,9,4,0,0,0,0,0,0,0,0,50 高雄市,1 一般
111,9,國立中山大學,3143016,中國與亞太區域研究所,N 職,M 碩士,39,24,15,8,4,4,5,3,1,1,2,1,1,7,2,0,0,0,0,50 高雄市,1 一般
111,1035,中國醫藥大學,9161039,中國藥學暨中藥資源學系,D 日,D 博士,15,6,9,0,5,4,1,1,0,0,1,1,1,0,0,0,1,0,0,19 臺中市,1 一般
111,1035,中國醫藥大學,9161039,中國藥學暨中藥資源學系,D 日,M 碩士,13,7,6,3,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,19 臺中市,1 一般
111,1035,中國醫藥大學,9161039,中國藥學暨中藥資源學系,D 日,B 學士,135,47,88,8,22,11,18,10,28,15,17,0,0,0,0,0,0,3,3,19 臺中市,1 一般
111,2,國立清華大學,2322109,中國語文學系,D 日,M 碩士,10,2,8,0,0,0,0,0,0,1,3,0,2,1,3,0,0,0,0,18 新竹市,1 一般
111,2,國立清華大學,2322109,中國語文學系,D 日,B 學士,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18 新竹市,1 一般
111,20,國立東華大學,2322025,中國語文學系,D 日,D 博士,37,16,21,4,3,1,5,1,7,1,2,0,2,1,0,8,2,0,0,15 花蓮縣,1 一般
111,20,國立東華大學,2322025,中國語文學系,D 日,M 碩士,25,10,15,3,5,1,4,2,0,2,6,1,0,1,0,0,0,0,0,15 花蓮縣,1 一般
111,20,國立東華大學,2322025,中國語文學系,D 日,B 學士,184,59,125,13,19,20,21,12,35,7,38,0,0,0,0,0,0,7,12,15 花蓮縣,1 一般
111,20,國立東華大學,2322025,中國語文學系,N 職,M 碩士,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15 花蓮縣,1 一般
111,21,國立暨南國際大學,2322013,中國語文學系,D 日,D 博士,9,6,3,2,0,2,0,0,1,0,0,0,0,1,1,1,1,0,0,08 南投縣,1 一般
111,21,國立暨南國際大學,2322013,中國語文學系,D 日,M 碩士,26,10,16,2,3,4,4,3,1,1,8,0,0,0,0,0,0,0,0,08 南投縣,1 一般
111,21,國立暨南國際大學,2322013,中國語文學系,D 日,B 學士,204,73,131,20,28,17,32,16,31,16,31,0,0,0,0,0,0,4,9,08 南投縣,1 一般
111,52,國立屏東大學,2322027,中國語文學系,D 日,M 碩士,20,9,11,4,3,1,3,3,2,1,3,0,0,0,0,0,0,0,0,13 屏東縣,1 一般
111,52,國立屏東大學,2322027,中國語文學系,D 日,B 學士,163,61,102,10,23,15,27,15,25,15,22,0,0,0,0,0,0,6,5,13 屏東縣,1 一般
111,52,國立屏東大學,2322027,中國語文學系,N 職,M 碩士,14,4,10,1,1,1,2,2,1,0,0,0,6,0,0,0,0,0,0,13 屏東縣,1 一般
111,1010,元智大學,2322004,中國語文學系,D 日,M 碩士,22,6,16,1,6,2,5,2,3,1,2,0,0,0,0,0,0,0,0,03 桃園市,1 一般
111,1010,元智大學,2322004,中國語文學系,D 日,B 學士,175,63,112,8,18,12,31,16,27,18,30,0,0,0,0,0,0,9,6,03 桃園市,1 一般
111,3002,臺北市立大學,2322043,中國語文學系,D 日,D 博士,20,13,7,1,1,1,1,1,1,3,2,2,1,0,0,5,1,0,0,30 臺北市,1 一般
111,3002,臺北市立大學,2322043,中國語文學系,D 日,M 碩士,32,7,25,1,5,2,8,0,2,3,4,1,1,0,5,0,0,0,0,30 臺北市,1 一般
111,3002,臺北市立大學,2322043,中國語文學系,D 日,B 學士,229,57,172,16,39,13,41,14,39,9,46,0,0,0,0,0,0,5,7,30 臺北市,1 一般
111,3002,臺北市立大學,2322043,中國語文學系,N 職,M 碩士,76,12,64,1,14,3,13,1,10,1,18,4,4,2,5,0,0,0,0,30 臺北市,1 一般
111,2,國立清華大學,2322109,中國語文學系語文教師碩士在職專班,N 職,M 碩士,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,18 新竹市,1 一般
111,2,國立清華大學,2322109,中國語文學系語文碩士在職專班,N 職,M 碩士,10,2,8,0,0,0,0,0,0,0,0,0,1,1,2,1,5,0,0,18 新竹市,1 一般
111,29,國立臺灣藝術大學,2151011,中國音樂學系,D 日,M 碩士,41,13,28,3,9,5,8,3,9,2,2,0,0,0,0,0,0,0,0,01 新北市,1 一般
111,29,國立臺灣藝術大學,2151011,中國音樂學系,D 日,B 學士,139,40,99,11,21,9,24,10,26,7,25,0,0,0,0,0,0,3,3,01 新北市,1 一般
111,29,國立臺灣藝術大學,2151011,中國音樂學系,N 職,M 碩士,27,13,14,2,5,4,4,2,2,1,3,3,0,1,0,0,0,0,0,01 新北市,1 一般
111,29,國立臺灣藝術大學,2151011,中國音樂學系,P 進,B 學士,125,36,89,10,15,5,23,8,20,6,24,0,0,0,0,0,0,7,7,01 新北市,1 一般
111,35,國立臺南藝術大學,2151002,中國音樂學系,D 日,M 碩士,19,11,8,3,3,4,3,3,2,1,0,0,0,0,0,0,0,0,0,11 臺南市,1 一般
111,35,國立臺南藝術大學,2151002,中國音樂學系,D 日,B 學士,98,35,63,5,22,10,16,5,11,12,12,0,0,0,0,0,0,3,2,11 臺南市,1 一般
111,35,國立臺南藝術大學,2151002,中國音樂學系,D 日,5 七年,88,31,57,6,24,12,17,13,16,0,0,0,0,0,0,0,0,0,0,11 臺南市,1 一般
111,1006,中國文化大學,2151007,中國音樂學系,D 日,M 碩士,40,17,23,4,8,7,4,6,8,0,2,0,0,0,1,0,0,0,0,30 臺北市,1 一般
111,1006,中國文化大學,2151007,中國音樂學系,D 日,B 學士,137,54,83,10,12,6,11,19,16,7,27,0,0,0,0,0,0,12,17,30 臺北市,1 一般
111,1,國立政治大學,3143023,中東與中亞研究碩士學位學程,D 日,M 碩士,15,6,9,2,3,1,1,2,3,1,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
111,1035,中國醫藥大學,8411012,中獸醫碩士學位學程,D 日,M 碩士,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,1 一般
111,1028,臺北醫學大學,9161030,中草藥臨床藥物研發博士學位學程,D 日,D 博士,23,13,10,2,3,3,1,0,3,2,1,2,1,1,1,3,0,0,0,30 臺北市,1 一般
111,1011,中華大學,6121062,中華大學美國舊金山州立大學資訊管理與決策科學學士學位學程,D 日,B 學士,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
111,1058,明道大學,2299043,中華文化與傳播學系,D 日,D 博士,30,17,13,2,3,4,1,1,4,4,1,3,3,1,1,2,0,0,0,07 彰化縣,1 一般
111,1058,明道大學,2299043,中華文化與傳播學系,D 日,M 碩士,30,10,20,2,10,3,7,3,1,2,2,0,0,0,0,0,0,0,0,07 彰化縣,1 一般
111,1058,明道大學,2299043,中華文化與傳播學系,D 日,B 學士,40,15,25,1,1,0,7,4,11,10,6,0,0,0,0,0,0,0,0,07 彰化縣,1 一般
111,1035,中國醫藥大學,9121046,中西醫結合研究所,D 日,D 博士,16,13,3,2,0,2,1,3,0,2,1,0,0,2,1,2,0,0,0,19 臺中市,1 一般
111,1035,中國醫藥大學,9121046,中西醫結合研究所,D 日,M 碩士,9,6,3,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,1 一般
111,1009,長庚大學,9171031,中醫學系,D 日,B 學士,366,166,200,17,32,33,24,29,23,20,31,23,28,25,31,15,31,4,0,03 桃園市,1 一般
111,1035,中國醫藥大學,9121014,中醫學系,D 日,D 博士,30,19,11,2,0,5,3,2,2,3,1,4,4,1,0,2,1,0,0,19 臺中市,1 一般
111,1035,中國醫藥大學,9121014,中醫學系,D 日,M 碩士,14,7,7,2,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,1 一般
111,1035,中國醫藥大學,9121014,中醫學系,D 日,B 學士,854,419,435,60,67,66,60,52,75,55,64,62,55,64,47,57,66,3,1,19 臺中市,1 一般
111,1009,長庚大學,9171031,中醫學系傳統中醫學碩士班,D 日,M 碩士,10,3,7,2,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,03 桃園市,1 一般
111,1035,中國醫藥大學,9121014,中醫學系八年制,D 日,B 學士,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19 臺中市,1 一般
111,1009,長庚大學,9171031,中醫學系天然藥物碩士班,D 日,M 碩士,18,4,14,0,10,4,3,0,0,0,1,0,0,0,0,0,0,0,0,03 桃園市,1 一般
111,47,國立高雄餐旅大學,10131005,中餐廚藝系,D 日,B 四技,200,129,71,35,16,31,16,31,19,31,19,0,0,0,0,0,0,1,1,50 高雄市,2 技職
111,14,國立高雄師範大學,4131032,事業經營學系,D 日,M 碩士,25,7,18,4,8,2,9,1,1,0,0,0,0,0,0,0,0,0,0,50 高雄市,3 師範
111,14,國立高雄師範大學,4131032,事業經營學系,D 日,B 學士,135,51,84,17,15,13,18,9,23,11,24,0,0,0,0,0,0,1,4,50 高雄市,3 師範
111,14,國立高雄師範大學,4131032,事業經營學系,N 職,M 碩士,58,24,34,11,17,12,13,0,3,1,1,0,0,0,0,0,0,0,0,50 高雄市,3 師範
111,1022,大同大學,4131007,事業經營學系,D 日,M 碩士,25,11,14,5,5,5,7,1,1,0,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
111,1022,大同大學,4131007,事業經營學系,D 日,B 學士,396,152,244,23,52,41,64,32,60,44,51,0,0,0,0,0,0,12,17,30 臺北市,1 一般
111,1022,大同大學,4131007,事業經營學系,N 職,M 碩士,24,16,8,3,2,5,2,2,0,0,1,6,3,0,0,0,0,0,0,30 臺北市,1 一般
111,14,國立高雄師範大學,4131032,事業經營學系經營管理現役軍人營區碩士在職專班,N 職,M 碩士,5,4,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,50 高雄市,3 師範
111,3,國立臺灣大學,4212037,事業經營法務碩士在職學位學程,N 職,M 碩士,60,20,40,6,17,9,16,3,7,2,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
111,3,國立臺灣大學,4131030,事業經營碩士在職學位學程,N 職,M 碩士,57,32,25,14,14,18,11,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
111,1033,長榮大學,2112064,互動設計學系,D 日,B 學士,74,58,16,0,0,18,5,17,4,17,6,0,0,0,0,0,0,6,1,11 臺南市,1 一般
111,25,國立臺北科技大學,2112007,互動設計系,D 日,B 四技,300,118,182,26,38,30,41,24,40,34,49,0,0,0,0,0,0,4,14,30 臺北市,2 技職
111,25,國立臺北科技大學,2112007,互動設計系_互動設計與創新外國學生專班,D 日,M 碩士,27,9,18,2,13,4,5,3,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,25,國立臺北科技大學,2112007,互動設計系_互動設計與創新外國學生專班,D 日,B 四技,12,4,8,1,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,25,國立臺北科技大學,2112007,互動設計系_香港二技專班,D 日,C 二技,5,1,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,30 臺北市,2 技職
111,25,國立臺北科技大學,2112007,互動設計系碩士在職專班,N 職,M 碩士,34,9,25,3,8,1,12,4,4,1,1,0,0,0,0,0,0,0,0,30 臺北市,2 技職
