"學年度","細學類","細學類名稱","科系名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男生","一年級女生","二年級男生","二年級女生","三年級男生","三年級女生","四年級男生","四年級女生","五年級男生","五年級女生","六年級男生","六年級女生","七年級男生","七年級女生","延修生男生","延修生女生"
111,04131,企業管理細學類,企業管理科,N 修,2 二專,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,04131,企業管理細學類,企業管理科,N 修,2 二專,50,27,23,11,12,14,11,0,0,0,0,0,0,0,0,0,0,2,0
111,04131,企業管理細學類,企業管理科,N 修,2 二專,276,98,178,34,44,48,116,0,0,0,0,0,0,0,0,0,0,16,18
111,04131,企業管理細學類,企業管理科,N 修,2 二專,5,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
111,04131,企業管理細學類,企業管理科,N 修,2 二專,58,28,30,11,20,15,9,0,0,0,0,0,0,0,0,0,0,2,1
111,04131,企業管理細學類,企業管理科,N 修,2 二專,167,91,76,48,34,38,39,0,0,0,0,0,0,0,0,0,0,5,3
111,04131,企業管理細學類,企業管理科,N 修,2 二專,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
111,04131,企業管理細學類,企業管理科,N 修,2 二專,61,26,35,7,15,17,19,0,0,0,0,0,0,0,0,0,0,2,1
111,04131,企業管理細學類,企業管理科,N 修,2 二專,333,148,185,75,90,65,90,0,0,0,0,0,0,0,0,0,0,8,5
111,04131,企業管理細學類,企業管理科,N 修,2 二專,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,04131,企業管理細學類,企業管理學系,D 日,D 博士,36,18,18,1,5,4,4,4,4,3,2,2,0,0,2,4,1,0,0
111,04131,企業管理細學類,企業管理學系,D 日,D 博士,78,53,25,10,3,12,4,6,5,6,3,11,5,5,1,3,4,0,0
111,04131,企業管理細學類,企業管理學系,D 日,D 博士,76,39,37,9,6,4,10,8,7,7,5,2,3,5,3,4,3,0,0
111,04131,企業管理細學類,企業管理學系,D 日,D 博士,43,27,16,6,5,5,3,4,5,5,2,3,1,2,0,2,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,D 博士,7,2,5,0,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,D 博士,55,31,24,3,7,7,6,5,1,3,3,4,2,6,2,3,3,0,0
111,04131,企業管理細學類,企業管理學系,D 日,D 博士,76,49,27,10,2,8,5,10,4,8,7,8,3,3,3,2,3,0,0
111,04131,企業管理細學類,企業管理學系,D 日,D 博士,46,28,18,4,3,5,3,4,3,6,3,4,3,0,1,5,2,0,0
111,04131,企業管理細學類,企業管理學系,D 日,D 博士,41,21,20,8,1,4,2,2,1,3,5,0,4,1,5,3,2,0,0
111,04131,企業管理細學類,企業管理學系,D 日,D 博士,45,31,14,2,2,2,4,4,3,8,1,3,2,7,1,5,1,0,0
111,04131,企業管理細學類,企業管理學系,D 日,D 博士,34,24,10,5,1,5,1,4,2,4,1,4,1,2,2,0,2,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,60,26,34,9,18,11,10,4,3,2,3,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,130,46,84,20,33,20,35,4,12,2,4,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,40,13,27,7,13,5,12,1,1,0,1,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,47,17,30,7,15,8,9,1,6,1,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,20,7,13,4,4,2,5,1,3,0,1,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,43,21,22,12,11,7,5,0,3,2,3,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,100,33,67,11,29,12,23,5,11,5,4,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,198,75,123,24,60,35,49,9,4,7,10,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,55,23,32,12,12,8,18,2,2,1,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,4,4,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,109,50,59,22,26,23,27,2,5,1,1,2,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,221,88,133,45,57,34,65,6,6,3,4,0,1,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,22,8,14,4,7,4,6,0,1,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,70,40,30,20,21,13,7,5,0,2,2,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,146,62,84,24,42,28,35,7,5,3,1,0,1,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,86,26,60,6,28,17,26,2,3,1,3,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,48,21,27,7,11,12,15,2,1,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,82,33,49,17,22,11,20,2,5,3,2,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,19,9,10,5,5,2,4,2,1,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,18,6,12,4,7,1,5,1,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,M 碩士,39,19,20,11,12,6,8,2,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,931,370,561,73,98,78,148,105,127,84,154,0,0,0,0,0,0,30,34
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,209,101,108,16,22,30,26,22,25,28,27,0,0,0,0,0,0,5,8
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,364,165,199,34,52,30,57,37,40,35,44,0,0,0,0,0,0,29,6
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,230,113,117,32,29,25,30,24,28,29,25,0,0,0,0,0,0,3,5
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,244,72,172,17,39,23,43,16,41,15,48,0,0,0,0,0,0,1,1
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,885,332,553,82,126,84,130,68,145,73,123,0,0,0,0,0,0,25,29
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,74,44,30,3,0,4,6,10,9,19,12,0,0,0,0,0,0,8,3
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,789,322,467,62,118,99,112,71,114,73,101,0,0,0,0,0,0,17,22
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,197,104,93,26,18,25,20,24,25,28,25,0,0,0,0,0,0,1,5
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,328,141,187,24,34,33,45,40,53,42,50,0,0,0,0,0,0,2,5
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,1202,454,748,115,187,92,184,109,183,122,173,0,0,0,0,0,0,16,21
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,232,125,107,25,20,22,21,29,25,39,33,0,0,0,0,0,0,10,8
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,529,202,327,39,83,47,80,53,75,54,74,0,0,0,0,0,0,9,15
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,1242,527,715,113,160,120,196,124,186,130,148,0,0,0,0,0,0,40,25
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,791,325,466,75,114,78,120,82,125,74,99,0,0,0,0,0,0,16,8
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,818,317,501,66,115,86,123,61,131,79,117,0,0,0,0,0,0,25,15
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,361,167,194,32,48,39,45,43,49,41,44,0,0,0,0,0,0,12,8
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,220,100,120,33,31,23,28,28,26,15,34,0,0,0,0,0,0,1,1
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,230,83,147,22,39,13,41,19,26,28,34,0,0,0,0,0,0,1,7
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,451,183,268,45,59,38,66,44,60,44,64,0,0,0,0,0,0,12,19
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,637,282,355,58,86,70,79,68,78,53,101,0,0,0,0,0,0,33,11
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,242,78,164,18,39,21,43,18,36,17,39,0,0,0,0,0,0,4,7
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,611,277,334,60,89,69,82,72,76,66,77,0,0,0,0,0,0,10,10
111,04131,企業管理細學類,企業管理學系,D 日,B 學士,319,130,189,33,51,37,44,29,45,27,46,0,0,0,0,0,0,4,3
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,84,31,53,16,25,15,25,0,1,0,2,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,51,29,22,8,5,11,11,3,3,4,1,2,1,1,1,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,88,39,49,15,25,18,23,5,1,1,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,8,1,7,0,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,107,35,72,15,25,7,28,5,9,5,4,1,5,2,1,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,4,3,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,157,81,76,46,35,27,33,1,5,2,0,0,2,5,1,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,37,20,17,16,10,2,7,1,0,1,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,23,12,11,6,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,59,30,29,13,14,17,14,0,1,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,24,12,12,4,5,7,4,0,3,1,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,124,58,66,18,30,22,22,10,10,5,2,3,0,0,2,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,87,31,56,8,31,18,18,2,4,3,1,0,2,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 職,M 碩士,50,29,21,11,4,7,10,5,4,2,1,3,1,1,1,0,0,0,0
111,04131,企業管理細學類,企業管理學系,N 修,C 二技,32,10,22,0,0,0,0,5,12,5,9,0,0,0,0,0,0,0,1
111,04131,企業管理細學類,企業管理學系,N 修,C 二技,111,63,48,0,0,0,0,0,5,61,42,0,0,0,0,0,0,2,1
111,04131,企業管理細學類,企業管理學系,P 進,B 學士,153,92,61,26,20,19,13,20,12,21,11,0,0,0,0,0,0,6,5
111,04131,企業管理細學類,企業管理學系,P 進,B 學士,62,37,25,8,6,7,4,7,1,14,11,0,0,0,0,0,0,1,3
111,04131,企業管理細學類,企業管理學系,P 進,B 學士,327,135,192,43,43,27,49,31,41,25,48,0,0,0,0,0,0,9,11
111,04131,企業管理細學類,企業管理學系,P 進,B 學士,282,126,156,13,14,19,30,35,48,41,51,0,0,0,0,0,0,18,13
111,04131,企業管理細學類,企業管理學系,P 進,B 學士,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,04131,企業管理細學類,企業管理學系,P 進,B 學士,89,47,42,13,14,8,12,9,5,11,5,0,0,0,0,0,0,6,6
111,04131,企業管理細學類,企業管理學系,P 進,B 學士,29,20,9,0,0,10,3,7,4,1,2,0,0,0,0,0,0,2,0
111,04131,企業管理細學類,企業管理學系,P 進,B 學士,179,98,81,12,10,24,13,20,21,24,24,0,0,0,0,0,0,18,13
111,04131,企業管理細學類,企業管理學系,P 進,B 學士,177,77,100,22,22,16,25,17,23,16,21,0,0,0,0,0,0,6,9
111,04131,企業管理細學類,企業管理學系,P 進,B 學士,161,85,76,25,14,23,19,22,22,9,13,0,0,0,0,0,0,6,8
111,04131,企業管理細學類,企業管理學系企業管理碩士班,D 日,M 碩士,219,93,126,38,45,33,46,16,28,6,7,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系行銷與流通管理碩士班,D 日,M 碩士,35,12,23,6,11,4,10,2,0,0,2,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系行銷與數位分析碩士班,D 日,M 碩士,30,11,19,3,9,3,6,1,4,4,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系金融管理碩士在職專班,N 職,M 碩士,42,25,17,21,9,4,8,0,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系金融管理碩士班,D 日,M 碩士,53,22,31,15,17,5,7,2,7,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系非營利事業管理碩士在職專班,N 職,M 碩士,7,4,3,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系國際企業經營管理碩士在職專班,N 職,M 碩士,120,62,58,26,28,29,25,1,0,1,2,3,3,2,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系現役軍人營區在職專班,P 進,B 學士,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系現役軍人營區碩士在職專班,N 職,M 碩士,56,42,14,19,11,21,2,2,1,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系進修學士現役軍人營區專班,P 進,B 學士,90,66,24,0,0,21,7,21,5,19,12,0,0,0,0,0,0,5,0
111,04131,企業管理細學類,企業管理學系進修學士現役軍人營區專班,P 進,B 學士,39,23,16,0,0,3,3,10,5,6,6,0,0,0,0,0,0,4,2
111,04131,企業管理細學類,企業管理學系進修學士現役軍人營區專班,P 進,B 學士,147,116,31,11,0,31,8,11,2,35,15,0,0,0,0,0,0,28,6
111,04131,企業管理細學類,企業管理學系經營管理策略現役軍人營區碩士在職專班,N 職,M 碩士,47,45,2,23,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系運輸科技與物流管理碩士班,D 日,M 碩士,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系碩士在職專班(上海專班),N 職,M 碩士,36,18,18,3,5,6,8,3,1,2,1,1,2,3,1,0,0,0,0
111,04131,企業管理細學類,企業管理學系碩士在職現役軍人營區專班,N 職,M 碩士,22,20,2,0,0,8,1,1,0,5,0,6,1,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系碩士在職現役軍人營區專班,N 職,M 碩士,18,17,1,5,0,7,1,1,0,1,0,1,0,2,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系管理科學博士班,D 日,D 博士,39,24,15,2,3,2,2,5,2,5,4,3,3,6,0,1,1,0,0
111,04131,企業管理細學類,企業管理學系管理科學碩士在職專班,N 職,M 碩士,19,8,11,5,4,0,3,1,2,1,2,1,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系管理科學碩士班,D 日,M 碩士,26,5,21,0,9,2,4,2,7,1,1,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系管理學碩士在職專班,N 職,M 碩士,82,35,47,18,18,13,25,2,4,1,0,1,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系管理學碩士班,D 日,M 碩士,81,39,42,14,23,19,17,4,1,2,1,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系醫務管理博士班,D 日,D 博士,14,9,5,0,3,3,0,3,1,1,0,2,1,0,0,0,0,0,0
111,04131,企業管理細學類,企業管理學系醫務管理碩士班,D 日,M 碩士,48,17,31,5,10,6,12,3,6,3,3,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,企業與創業管理學系,D 日,B 學士,144,85,59,25,5,21,14,26,21,9,18,0,0,0,0,0,0,4,1
111,04131,企業管理細學類,企業與創業管理學系,P 進,B 學士,101,56,45,16,10,9,10,11,15,16,7,0,0,0,0,0,0,4,3
111,04131,企業管理細學類,企業與創業管理學系進修學士現役軍人營區專班,P 進,B 學士,18,10,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,光電科技研究所科技應用與管理碩士在職專班,N 職,M 碩士,45,29,16,15,11,14,5,0,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,全球經營與策略研究所,D 日,M 碩士,69,30,39,8,15,13,15,6,9,3,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,行銷與流通管理科,D 日,2 二專,32,16,16,9,6,7,10,0,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,事業經營碩士在職學位學程,N 職,M 碩士,57,32,25,14,14,18,11,0,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,事業經營學系,D 日,M 碩士,25,11,14,5,5,5,7,1,1,0,1,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,事業經營學系,D 日,M 碩士,25,7,18,4,8,2,9,1,1,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,事業經營學系,D 日,B 學士,135,51,84,17,15,13,18,9,23,11,24,0,0,0,0,0,0,1,4
111,04131,企業管理細學類,事業經營學系,D 日,B 學士,396,152,244,23,52,41,64,32,60,44,51,0,0,0,0,0,0,12,17
111,04131,企業管理細學類,事業經營學系,N 職,M 碩士,24,16,8,3,2,5,2,2,0,0,1,6,3,0,0,0,0,0,0
111,04131,企業管理細學類,事業經營學系,N 職,M 碩士,58,24,34,11,17,12,13,0,3,1,1,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,事業經營學系經營管理現役軍人營區碩士在職專班,N 職,M 碩士,5,4,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0
111,04131,企業管理細學類,亞太工商管理學系,D 日,M 碩士,26,11,15,4,9,6,6,1,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,亞太工商管理學系,D 日,B 學士,265,123,142,34,21,25,42,27,44,32,32,0,0,0,0,0,0,5,3
111,04131,企業管理細學類,亞太工商管理學系,N 職,M 碩士,23,16,7,2,3,8,1,2,2,1,0,2,0,1,1,0,0,0,0
111,04131,企業管理細學類,東南亞區域管理碩士學位學程,D 日,M 碩士,24,4,20,1,8,3,11,0,1,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,社會企業碩士在職學位學程,N 職,M 碩士,33,11,22,4,6,5,10,0,4,1,0,0,2,1,0,0,0,0,0
111,04131,企業管理細學類,社會企業碩士學位學程,D 日,M 碩士,22,9,13,2,6,5,3,1,2,1,2,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,社會創新研究所,D 日,M 碩士,23,5,18,2,10,3,8,0,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,科技管理學系,D 日,M 碩士,19,9,10,2,5,4,4,1,1,2,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,科技管理學系,D 日,B 學士,198,93,105,27,29,23,29,22,23,19,24,0,0,0,0,0,0,2,0
111,04131,企業管理細學類,科技管理學系,P 進,B 學士,78,42,36,9,12,10,5,7,10,13,9,0,0,0,0,0,0,3,0
111,04131,企業管理細學類,英國西英格蘭大學企業管理雙學士學位學程,D 日,B 學士,35,15,20,2,4,5,7,3,7,5,2,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,茶文化事業經營管理系,D 日,B 四技,16,6,10,0,0,4,1,1,3,1,6,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,茶文化事業經營管理系,N 修,B 四技,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,財務金融技術學系行政管理碩士在職專班,N 職,M 碩士,67,26,41,9,19,13,16,3,4,0,0,0,0,1,2,0,0,0,0
111,04131,企業管理細學類,財務金融技術學系商業教育教學碩士在職專班,N 職,M 碩士,43,16,27,5,13,4,12,4,1,2,0,1,1,0,0,0,0,0,0
111,04131,企業管理細學類,高階主管企管碩士在職專班,N 職,M 碩士,42,20,22,11,6,7,15,1,0,0,0,1,1,0,0,0,0,0,0
111,04131,企業管理細學類,高階經營管理博士學位學程,D 日,D 博士,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,高階經營管理碩士在職專班,N 職,M 碩士,425,236,189,77,72,85,66,31,22,25,12,12,11,6,6,0,0,0,0
111,04131,企業管理細學類,高階管理碩士在職專班,N 職,M 碩士,30,23,7,10,4,10,3,3,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,高階管理碩士在職專班(EMBA),N 職,M 碩士,254,164,90,63,27,51,34,38,22,8,3,4,4,0,0,0,0,0,0
111,04131,企業管理細學類,高階管理碩士在職學位學程,N 職,M 碩士,54,32,22,19,8,12,14,1,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,高階管理碩士雙聯學位學程,N 職,M 碩士,40,24,16,9,3,11,11,3,2,1,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,區域發展重點產業碩士專班,D 日,M 碩士,21,12,9,7,3,5,5,0,0,0,1,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,商業自動化與管理學系,D 日,M 碩士,11,4,7,3,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,商業自動化與管理學系,D 日,B 學士,218,65,153,15,30,21,41,13,40,14,42,0,0,0,0,0,0,2,0
111,04131,企業管理細學類,商業管理學士學位學程,P 進,B 學士,456,195,261,36,48,49,64,52,58,43,71,0,0,0,0,0,0,15,20
111,04131,企業管理細學類,商管專業學院碩士學位學程,D 日,M 碩士,51,18,33,9,16,4,8,2,6,3,3,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,商管專業學院碩士學位學程在職專班,N 職,M 碩士,130,50,80,25,39,13,31,5,5,3,1,0,2,4,2,0,0,0,0
111,04131,企業管理細學類,商管學院企業高階管理碩士班EMBA,N 職,M 碩士,15,8,7,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,商管學院經營管理全英語碩士學位學程,D 日,M 碩士,4,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,商學研究所,D 日,D 博士,44,19,25,4,5,3,4,2,10,7,2,1,1,2,2,0,1,0,0
111,04131,企業管理細學類,商學研究所,D 日,M 碩士,129,61,68,23,37,29,29,7,2,2,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,商學院EMBA高階經營碩士在職專班,N 職,M 碩士,71,33,38,17,24,8,11,4,1,1,1,0,0,3,1,0,0,0,0
111,04131,企業管理細學類,商學院企業實務管理數位碩士在職專班,N 職,M 碩士,71,33,38,12,13,10,11,1,3,2,2,5,6,3,3,0,0,0,0
111,04131,企業管理細學類,商學院企業管理碩士班,D 日,M 碩士,8,4,4,0,0,1,2,1,0,2,2,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,商學院國際榮譽學士學位學程,D 日,B 學士,17,5,12,3,7,0,0,0,0,0,0,0,0,0,0,0,0,2,5
111,04131,企業管理細學類,商學院經營管理碩士在職專班,N 職,M 碩士,79,44,35,37,29,2,4,3,0,1,1,1,1,0,0,0,0,0,0
111,04131,企業管理細學類,國際企業系,D 日,B 四技,376,92,284,20,57,25,81,19,64,26,79,0,0,0,0,0,0,2,3
111,04131,企業管理細學類,國際企業系,D 日,B 四技,152,74,78,8,8,10,14,20,26,33,29,0,0,0,0,0,0,3,1
111,04131,企業管理細學類,國際企業系,N 修,B 四技,54,26,28,12,16,14,12,0,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,國際企業系,N 修,B 四技,61,34,27,0,0,0,0,11,10,15,13,0,0,0,0,0,0,8,4
111,04131,企業管理細學類,國際企業系碩士在職專班,N 職,M 碩士,13,7,6,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,國際企業系碩士班,D 日,M 碩士,14,6,8,5,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,國際企業研究所,D 日,D 博士,12,7,5,1,0,0,4,1,0,3,0,1,0,1,1,0,0,0,0
111,04131,企業管理細學類,國際企業研究所,D 日,M 碩士,60,21,39,13,18,7,19,1,2,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,國際企業研究所,D 日,M 碩士,27,8,19,4,9,4,9,0,1,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,國際企業研究所東南亞金融產業碩士專班,D 日,M 碩士,28,10,18,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,國際企業英語碩士學位學程,D 日,M 碩士,17,7,10,3,7,2,2,0,1,2,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,國際企業英語學士學位學程,D 日,B 學士,173,61,112,10,12,11,28,20,25,14,36,0,0,0,0,0,0,6,11
111,04131,企業管理細學類,國際企業經營系,D 日,B 四技,284,105,179,23,18,27,55,22,41,23,53,0,0,0,0,0,0,10,12
111,04131,企業管理細學類,國際企業經營系,N 修,B 四技,160,66,94,6,8,8,14,25,17,20,50,0,0,0,0,0,0,7,5
111,04131,企業管理細學類,國際企業經營系,N 修,C 二技,65,36,29,0,0,0,0,23,12,13,17,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,國際企業經營系_國際學生產學合作專班,D 日,B 四技,40,7,33,6,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,04131,企業管理細學類,國際企業經營系碩士在職專班,N 職,M 碩士,9,3,6,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0
111,04131,企業管理細學類,國際企業經營系碩士班,D 日,M 碩士,51,17,34,7,19,3,7,7,7,0,1,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,國際企業經營科,N 修,2 二專,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
111,04131,企業管理細學類,國際企業經營學系,D 日,B 學士,147,69,78,9,23,19,19,12,18,22,15,0,0,0,0,0,0,7,3
111,04131,企業管理細學類,國際企業管理全英語學士學位學程,D 日,B 學士,127,58,69,24,42,31,25,3,2,0,0,0,0,0,0,0,0,0,0
111,04131,企業管理細學類,國際企業管理系,D 日,B 四技,218,57,161,15,37,13,46,13,33,15,40,0,0,0,0,0,0,1,5
111,04131,企業管理細學類,國際企業管理系,D 日,B 四技,101,50,51,7,7,6,9,12,5,21,28,0,0,0,0,0,0,4,2
111,04131,企業管理細學類,國際企業管理系,N 修,B 四技,86,33,53,0,0,6,16,14,12,7,18,0,0,0,0,0,0,6,7
111,04131,企業管理細學類,國際企業管理系,N 修,B 四技,100,48,52,8,11,15,12,9,9,12,18,0,0,0,0,0,0,4,2
111,04131,企業管理細學類,國際企業管理系,N 修,C 二技,78,33,45,0,0,0,0,17,20,12,24,0,0,0,0,0,0,4,1
