"學年度","細學類","細學類名稱","科系名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男生","一年級女生","二年級男生","二年級女生","三年級男生","三年級女生","四年級男生","四年級女生","五年級男生","五年級女生","六年級男生","六年級女生","七年級男生","七年級女生","延修生男生","延修生女生"
111,01111,綜合教育細學類,教育與潛能開發學系教育博士班,D 日,D 博士,101,54,47,9,10,5,14,8,8,11,6,9,3,7,4,5,2,0,0
111,01111,綜合教育細學類,教育與潛能開發學系教育碩士在職專班,N 職,M 碩士,83,21,62,3,16,5,20,8,11,5,11,0,2,0,2,0,0,0,0
111,01111,綜合教育細學類,教育與潛能開發學系教育碩士班,D 日,M 碩士,41,10,31,2,14,3,6,1,3,3,6,0,1,1,1,0,0,0,0
111,01111,綜合教育細學類,教育與學習科技學系,D 日,D 博士,63,21,42,4,7,3,8,4,3,3,10,2,6,2,0,3,8,0,0
111,01111,綜合教育細學類,教育與學習科技學系,D 日,M 碩士,116,19,97,7,29,5,31,3,15,3,15,0,5,1,2,0,0,0,0
111,01111,綜合教育細學類,教育與學習科技學系,D 日,B 學士,184,51,133,15,33,12,32,10,29,11,32,0,0,0,0,0,0,3,7
111,01111,綜合教育細學類,教育與學習科技學系教育行政碩士在職專班,N 職,M 碩士,59,11,48,6,14,3,16,1,9,0,8,0,1,0,0,1,0,0,0
111,01111,綜合教育細學類,教育與學習科技學系課程與教學碩士在職專班,N 職,M 碩士,135,18,117,5,31,4,34,6,23,2,20,1,3,0,3,0,3,0,0
111,01111,綜合教育細學類,教育學系,D 日,D 博士,454,178,276,38,37,30,39,26,46,17,39,28,27,12,32,27,56,0,0
111,01111,綜合教育細學類,教育學系,D 日,M 碩士,312,85,227,32,68,20,60,20,51,10,38,1,8,1,1,1,1,0,0
111,01111,綜合教育細學類,教育學系,D 日,B 學士,213,75,138,9,16,22,30,21,35,12,44,0,0,0,0,0,0,11,13
111,01111,綜合教育細學類,教育學系,D 日,B 學士,2030,669,1361,141,293,156,340,174,329,156,332,0,0,0,0,0,0,42,67
111,01111,綜合教育細學類,教育學系生命教育碩士在職專班,N 職,M 碩士,152,22,130,7,47,8,39,4,17,1,14,0,8,2,5,0,0,0,0
